id,taxonName
Q1190011,Taphrospilus hypostictus
Q963376,Panterpe insignis
Q268028,Stephanoxis lalandi
Q690521,Chlorestes notata
Q282973,Patagona gigas
Q882926,Tilmatura dupontii
Q1260944,Rhynchortyx cinctus
Q17630679,Stephanoxis loddigesii
Q387934,Phaeochroa cuvierii
Q607745,Goldmania violiceps
Q649173,Pterophanes cyanopterus
Q783963,Thaumastura cora
Q845065,Rheinardia ocellata
Q997349,Urochroa bougueri
Q17517258,Oxypogon lindenii
Q17517323,Oxypogon stuebelii
Q249974,Taphrolesbia griseiventris
Q763130,Rollulus rouloul
Q1092111,Oxypogon guerinii
Q269385,Philortyx fasciatus
Q31873827,Urochroa leucura
Q30688437,Schistes albogularis
Q17517273,Oxypogon cyanolaemus
Q27074781,Juliamyia julie
Q129059,Tetrao urogallus
Q478592,Megapodius cumingii
Q1036005,Pternistis icterorhynchus
Q1036394,Pternistis hildebrandti
Q1193783,Megapodius nicobariensis
Q1262269,Pternistis leucoscepus
Q155878,Lyrurus tetrix
Q2209249,Megapodius geelvinkianus
Q747372,Centrocercus urophasianus
Q1266683,Pternistis erckelii
Q20719997,Pternistis hartlaubi
Q20830886,Pternistis swainsonii
Q652028,Agelastes niger
Q737923,Pternistis squamatus
Q845408,Lyrurus mlokosiewiczi
Q1275889,Pternistis clappertoni
Q27074570,Pternistis bicalcaratus
Q27074568,Pternistis griseostriatus
Q25691279,Tetrao tetrix
Q27074572,Pternistis swierstrai
Q961967,Megapodius pritchardii
Q1066543,Pternistis jacksoni
Q1266045,Pternistis natalensis
Q1275114,Francolinus swainsonii
Q717074,Agelastes meleagrides
Q1261158,Centrocercus minimus
Q1268200,Pternistis ahantensis
Q3063563,Megapodius forstenii
Q588900,Megapodius laperouse
Q736722,Megapodius eremita
Q1259671,Megapodius freycinet
Q1271333,Basilinna xantusii
Q997393,Basilinna leucotis
Q1093526,Pternistis adspersus
Q1190882,Megapodius layardi
Q27074575,Pternistis nobilis
Q27074555,Tetrao urogalloides
Q606442,Megapodius bernsteinii
Q1047217,Megapodius reinwardt
Q1261619,Pternistis castaneicollis
Q1263004,Pternistis rufopictus
Q1270453,Megapodius affinis
Q246468,Pseudochelidon eurystomina
Q997675,Pseudochelidon sirintarae
Q192044,Rhea americana
Q733120,Rhea pennata
Q31872833,Rhea tarapacensis
Q111479899,Rhea fossilis
Q117253054,Canachites canadensis
Q65243826,Rhea darwinii
Q637533,Fulica
Q385750,Chrysolophus amherstiae
Q335113,Chrysolophus pictus
Q2447808,Acridotheres grandis
Q1881975,Acridotheres melanopterus
Q18229940,Acridotheres burmannicus
Q31874135,Acridotheres leucocephalus
Q31874138,Acridotheres tertius
Q31874136,Acridotheres tricolor
Q244197,Apteryx owenii
Q94601,Meleagris ocellata
Q667778,Apteryx australis
Q116667,Acridotheres tristis
Q1088602,Acridotheres ginginianus
Q1262207,Acridotheres fuscus
Q734829,Apteryx mantelli
Q927358,Apteryx rowi
Q1188350,Atrichornis rufescens
Q74017,Acridotheres javanicus
Q1586344,Acridotheres albocinctus
Q730091,Apteryx haastii
Q715819,Acridotheres cristatellus
Q935356,Atrichornis clamosus
Q26844,Meleagris gallopavo
Q1078580,Chamaepetes goudotii
Q748732,Chamaepetes unicolor
Q1589973,Acridotheres cinereus
Q992097,Hirundo aethiopica
Q1036824,Hirundo lucida
Q1042068,Hirundo atrocaerulea
Q629675,Hirundo megaensis
Q1036828,Hirundo nigrita
Q1036840,Hirundo nigrorufa
Q767050,Hirundo tahitica
Q938692,Hirundo neoxena
Q212020,Hirundo daurica
Q18275516,Hirundo obsoleta
Q547224,Hirundo angolensis
Q375793,Hirundo smithii
Q767065,Hirundo dimidiata
Q15850865,Hirundo domicella
Q3136299,Hirundo domicola
Q25429,Hirundo rustica
Q374600,Hirundo albigularis
Q536903,Hirundo leucosoma
Q14624734,Hirundo fulva
Q1589754,Abroscopus albogularis
Q1809611,Aethopyga bella
Q3117547,Sicalis lutea
Q3182672,Iridosornis jelskii
Q3314552,Aethopyga pulcherrima
Q661642,Lamprotornis hildebrandti
Q73483,Abroscopus superciliaris
Q74075,Aethopyga eximia
Q10772716,Iduna opaca
Q673768,Lamprotornis australis
Q857379,Sicalis raimondii
Q1587096,Emberizoides ypiranganus
Q2667934,Iduna natalensis
Q2742600,Aethopyga christinae
Q2743811,Aethopyga gouldiae
Q3114754,Sicalis olivascens
Q3726938,Aethopyga boltoni
Q15707861,Aethopyga magnifica
Q15707913,Aethopyga guimarasensis
Q5420068,Aethopyga vigorsii
Q240445,Lamprotornis chalybaeus
Q2359591,Aethopyga flagrans
Q2397848,Iridosornis reinhardti
Q73760,Aethopyga siparaja
Q606407,Aethopyga mystacalis
Q608635,Lamprotornis superbus
Q647010,Lamprotornis cupreocauda
Q908249,Lamprotornis purpureiceps
Q1064372,Sicalis flaveola
Q1266228,Aburria aburri
Q1586576,Iridosornis rufivertex
Q2084483,Abroscopus schisticeps
Q3114786,Sicalis taczanowskii
Q3117605,Sicalis uropigyalis
Q370354,Iduna rama
Q918405,Sicalis columbiana
Q3114581,Sicalis auriventris
Q3117565,Sicalis luteocephala
Q3302107,Aethopyga linaraborae
Q14753772,Iduna pallida
Q281872,Lamprotornis unicolor
Q606612,Aethopyga duyvenbodei
Q757116,Iduna caligata
Q778207,Iridosornis porphyrocephalus
Q2471281,Aethopyga ignicauda
Q15023998,Sicalis mendozae
Q908219,Lamprotornis mevesii
Q73833,Aethopyga temminckii
Q2128988,Aethopyga shelleyi
Q2454690,Aethopyga saturata
Q2668579,Emberizoides herbicola
Q3117590,Sicalis citrina
Q3182110,Iridosornis analis
Q19682735,Iduna aedon
Q518161,Sicalis lebruni
Q2216514,Aethopyga primigenia
Q2225880,Iduna similis
Q3114766,Sicalis luteola
Q3238764,Aethopyga nipalensis
Q15707911,Aethopyga jefferyi
Q202423,Alectoris barbara
Q565614,Campylopterus hyperythrus
Q1039769,Metallura phoebe
Q1262833,Hylophylax naevius
Q1265085,Campylopterus phainopeplus
Q1265466,Aglaeactis aliciae
Q1265474,Campylopterus falcatus
Q1588010,Lamprotornis splendidus
Q492684,Alectoris graeca
Q3315456,Arremonops tocuyensis
Q754863,Alectoris rufa
Q2092797,Lamprotornis ornatus
Q963620,Lamprotornis elisabeth
Q1259465,Campylopterus villaviscensio
Q1306497,Machaerirhynchus nigripectus
Q1307621,Machaerirhynchus flaviventer
Q2935663,Campylopterus pampa
Q2964580,Lamprotornis purpureus
Q3180337,Lamprotornis bicolor
Q857888,Campylopterus largipennis
Q110257384,Campylopterus diamantinensis
Q194043,Alectoris chukar
Q916745,Anabathmis reichenbachii
Q371205,Alectoris philbyi
Q516922,Aglaeactis castelnaudii
Q933321,Lamprotornis purpuroptera
Q1266737,Boissonneaua flavescens
Q2668344,Lamprotornis chalcurus
Q3316832,Lamprotornis corruscus
Q587047,Metallura tyrianthina
Q1259321,Campylopterus ensipennis
Q1266212,Metallura aeneocauda
Q1268508,Metallura theresiae
Q1271890,Aglaeactis cupripennis
Q1274102,Hylophylax naevioides
Q2229892,Arremonops conirostris
Q2668350,Melanodera xanthogramma
Q2733541,Lamprotornis nitens
Q251584,Alectoris melanocephala
Q1130092,Campylopterus hemileucurus
Q934165,Aglaiocercus coelestis
Q944609,Boissonneaua jardini
Q1065055,Campylopterus rufus
Q1260811,Boissonneaua matthewsii
Q2668293,Melanodera melanodera
Q3316484,Lamprotornis acuticaudus
Q27075602,Lamprotornis iris
Q1269438,Metallura baroni
Q2669759,Arremonops rufivirgatus
Q1265775,Metallura eupogon
Q2668951,Arremonops chloronotus
Q27075610,Lamprotornis albicapillus
Q27075606,Lamprotornis regius
Q581981,Anabathmis newtonii
Q849264,Anabathmis hartlaubii
Q908272,Lamprotornis shelleyi
Q948103,Lamprotornis chloropterus
Q948736,Lamprotornis caudatus
Q1272427,Metallura williami
Q1273659,Campylopterus curvipennis
Q57507936,Campylopterus calcirupicola
Q373638,Metallura iracunda
Q432073,Aglaiocercus kingii
Q543056,Aglaeactis pamela
Q1263316,Hylophylax punctulatus
Q2668390,Lamprotornis pulcher
Q27075608,Lamprotornis fischeri
Q600662,Chlorospingus semifuscus
Q1264806,Phacellodomus striaticollis
Q1265748,Myrmeciza ferruginea
Q2668326,Chlorospingus flavovirens
Q662861,Lophophorus lhuysii
Q188877,Fringilla montifringilla
Q378365,Anthracothorax viridigula
Q580094,Anthracothorax dominicus
Q673194,Chlorospingus canigularis
Q847168,Fringilla teydea
Q935204,Tinamotis ingoufi
Q952711,Phacellodomus maculipectus
Q1260809,Phacellodomus rufifrons
Q1261349,Myrmeciza nigricauda
Q1268150,Myrmeciza atrothorax
Q1588168,Chlorospingus pileatus
Q2630970,Chlorospingus flavopectus
Q549247,Anthracothorax mango
Q555761,Myrmeciza loricata
Q763302,Diuca speculifera
Q1269189,Phacellodomus ruber
Q1272924,Myrmeciza longipes
Q371878,Phacellodomus ferrugineigula
Q576622,Myrmeciza melanoceps
Q581571,Myrmeciza ruficauda
Q742818,Lophophorus impejanus
Q772154,Anthracothorax veraguensis
Q998530,Conothraupis mesoleuca
Q559139,Myrmeciza squamosa
Q998729,Anthracothorax nigricollis
Q1059578,Anthracothorax viridis
Q1065472,Anthracothorax prevostii
Q1067408,Tinamotis pentlandii
Q15707880,Myrmeciza zeledoni
Q261819,Chlorospingus flavigularis
Q574776,Myrmeciza fortis
Q908767,Myrmeciza laemosticta
Q1038313,Myrmeciza immaculata
Q1273734,Phacellodomus erythrophthalmus
Q2668619,Diuca diuca
Q3182648,Conothraupis speculigera
Q3728750,Mino kreffti
Q252488,Lophophorus sclateri
Q1261367,Phacellodomus striaticeps
Q1264936,Phacellodomus sibilatrix
Q1271998,Phacellodomus dorsalis
Q25383,Fringilla coelebs
Q552101,Myrmeciza goeldii
Q301670,Mino dumontii
Q557610,Myrmeciza hemimelaena
Q637143,Microbates cinereiventris
Q31873702,Anthracothorax aurulentus
Q940954,Microbates collaris
Q1587407,Chlorospingus parvirostris
Q3302619,Mino anais
Q15727465,Chlorospingus ophthalmicus
Q28843149,Chlorospingus goeringi
Q184774,Gallus gallus
Q596325,Gallus varius
Q643746,Zosterops fuscicapilla
Q697413,Bombycilla japonica
Q795545,Zosterops palpebrosus
Q994409,Zosterops albogularis
Q1319067,Zosterops oleagineus
Q1430628,Zosterops natalis
Q1923120,Zosterops metcalfii
Q4199393,Gallus varius × Gallus gallus
Q74078,Zosterops flavus
Q304434,Gallus sonneratii
Q458356,Zosterops kuehni
Q912156,Zosterops stresemanni
Q1071081,Colibri thalassinus
Q1073505,Menura alberti
Q1303984,Zosterops xanthochroa
Q1314559,Zosterops ficedulinus
Q1752281,Regulus madeirensis
Q1923087,Zosterops citrinella
Q2671352,Notiochelidon murina
Q313394,Zosterops lateralis
Q122868,Colibri serrirostris
Q905178,Zosterops conspicillatus
Q915625,Zosterops grayi
Q1061897,Zosterops borbonicus
Q1305790,Erythrocercus mccallii
Q1589575,Zosterops pallidus
Q1923132,Zosterops finschii
Q21346306,Gallus lafayettii
Q757013,Menura novaehollandiae
Q596250,Zosterops atricapilla
Q716252,Regulus goodfellowi
Q904888,Zosterops tenuirostris
Q912836,Zosterops strenuus
Q184314,Bombycilla cedrorum
Q248607,Erythrocercus livingstonei
Q788603,Eleoscytalopus psychopompus
Q1063246,Regulus satrapa
Q1104172,Regulus teneriffae
Q1319474,Zosterops flavifrons
Q1923092,Zosterops novaeguineae
Q1923098,Zosterops atrifrons
Q2225328,Erythrocercus holochlorus
Q535416,Colibri delphinae
Q929489,Colibri coruscans
Q1270151,Eleoscytalopus indigoticus
Q1778202,Zosterops modestus
Q26657,Regulus regulus
Q795543,Zosterops nehrkorni
Q795625,Zosterops montanus
Q1251257,Zosterops mayottensis
Q1761519,Zosterops chloronothos
Q1923113,Zosterops atriceps
Q1923139,Zosterops consobrinorum
Q27074775,Colibri cyanotus
Q700028,Zosterops japonicus
Q795548,Zosterops somadikartai
Q1303396,Zosterops meyeni
Q1719434,Zosterops hypolais
Q1923142,Zosterops uropygialis
Q2225134,Notiochelidon flavipes
Q26135,Bombycilla garrulus
Q27471,Regulus ignicapilla
Q596275,Vireo philadelphicus
Q1588787,Vireolanius leucotis
Q922192,Tachycineta bicolor
Q1588139,Vireo flavoviridis
Q337416,Gracula religiosa
Q788597,Tachycineta cyaneoviridis
Q1342319,Gracula enganensis
Q2667695,Vireo nanus
Q2667730,Vireo crassirostris
Q2667746,Vireo altiloquus
Q1318023,Vireo plumbeus
Q367520,Vireo atricapilla
Q596266,Vireo gilvus
Q628749,Vireo gracilirostris
Q1587825,Vireo latimeri
Q25245111,Megalurus punctatus
Q1590824,Vireo brevipennis
Q913105,Megalurus rufescens
Q1302037,Vireo caribaeus
Q1302079,Vireo modestus
Q1586476,Vireo solitarius
Q1590852,Vireo hypochryseus
Q1591383,Megalurus gramineus
Q2667684,Vireo magister
Q2667703,Vireo leucophrys
Q24570440,Vireo chivi
Q27075502,Megalurus mathewsi
Q942712,Aphrastura spinicauda
Q1301366,Megalurus carteri
Q1588195,Megalurus pryeri
Q1588260,Vireo cassinii
Q2667675,Vireo huttoni
Q2667707,Vireo bairdi
Q3504550,Gracula robusta
Q3726346,Megalurus albolimbatus
Q3727625,Vireolanius eximius
Q512812,Vireo griseus
Q942435,Tachycineta albilinea
Q1303897,Vireo bellii
Q1588635,Vireo nelsoni
Q73512,Megalurus palustris
Q1059968,Tachycineta thalassina
Q1302920,Vireo pallens
Q1590584,Vireolanius pulchellus
Q13732338,Gracula indica
Q2667713,Vireo vicinior
Q2667737,Vireo carmioli
Q2667740,Vireo gundlachii
Q2667752,Vireo masteri
Q537579,Vireolanius melitophrys
Q775394,Tachycineta euchrysea
Q1586466,Gracula ptilogenys
Q2667689,Vireo osburni
Q3136328,Tachycineta albiventer
Q25469,Sturnus vulgaris
Q4749034,Vireo swainsonii
Q582976,Vireo olivaceus
Q596518,Vireo flavifrons
Q3136330,Tachycineta leucorrhoa
Q27075316,Vireo sclateri
Q27075442,Tachycineta leucopyga
Q26055,Delichon urbicum
Q120964666,Fringilla spodiogenys
Q339287,Conopophaga roberti
Q903053,Conopophaga lineata
Q1589908,Arremon taciturnus
Q2668274,Arremon semitorquatus
Q148735,Arremon franciscanus
Q542722,Leucippus chlorocercus
Q1264730,Leucippus baeri
Q21276404,Leucippus hypostictus
Q1261736,Leucippus fallax
Q1923777,Arremon atricapillus
Q1307528,Arremon torquatus
Q1934333,Arremon castaneiceps
Q31874643,Conopophaga snethlageae
Q686477,Conopophaga melanops
Q942420,Conopophaga aurita
Q120964666,Fringilla coelebs spodygenis
Q902710,Conopophaga castaneiceps
Q1535692,Arremon schlegeli
Q15873782,Conopophaga cearae
Q1586520,Arremon aurantiirostris
Q1260889,Leucippus taczanowskii
Q1588810,Arremon flavirostris
Q3314648,Arremon abeillei
Q2226813,Arremon brunneinucha
Q120964621,Fringilla canariensis
Q840139,Conopophaga peruviana
Q998612,Conopophaga melanogaster
Q22704092,Fringilla polatzeki
Q3181864,Arremon virenticeps
Q3726906,Arremon crassirostris
Q542722,Talaphorus chlorocercus
Q952376,Trochilus polytmus
Q1588735,Conirostrum leucogenys
Q1897577,Trochilus scitulus
Q1591454,Conirostrum tamarugense
Q592345,Conirostrum albifrons
Q917303,Amytornis woodwardi
Q28856071,Heleia squamiceps
Q1588553,Conirostrum speciosum
Q1588605,Conirostrum margaritae
Q28919235,Heleia wallacei
Q938414,Amytornis barbatus
Q1588444,Curaeus curaeus
Q3176551,Heleia crassirostris
Q28848212,Heleia dohertyi
Q1274275,Ammoperdix heyi
Q1588548,Conirostrum rufum
Q1585673,Conirostrum cinereum
Q1586105,Conirostrum ferrugineiventre
Q1588614,Conirostrum sitticolor
Q1590459,Conirostrum bicolor
Q765964,Amytornis striatus
Q920780,Ammoperdix griseogularis
Q28866960,Heleia squamifrons
Q28854517,Heleia pinaiae
Q31874318,Conirostrum fraseri
Q28854396,Heleia javanica
Q28856097,Heleia superciliaris
Q841123,Polioptila lactea
Q1264958,Campylorhamphus falcularius
Q1267453,Augastes lumachella
Q841099,Polioptila californica
Q901899,Polioptila melanura
Q1039427,Augastes scutatus
Q1210117,Amytornis textilis
Q1301718,Amytornis merrotsyi
Q1307490,Pomatorhinus ferruginosus
Q73882,Pomatorhinus montanus
Q773487,Polioptila plumbea
Q883006,Polioptila caerulea
Q1063957,Perdix hodgsoniae
Q1275541,Calliphlox evelynae
Q1307431,Pomatorhinus erythrogenys
Q1439640,Pomarea pomarea
Q694749,Calliphlox amethystina
Q1264048,Campylorhamphus pusillus
Q902015,Polioptila dumicola
Q1078618,Campylorhamphus trochilirostris
Q1265410,Anabacerthia ruficaudata
Q1301732,Amytornis dorotheae
Q1303334,Amytornis ballarae
Q1766815,Pomarea nigra
Q2224937,Pomarea dimidiata
Q18560082,Polioptila attenboroughi
Q21190962,Calliphlox lyrura
Q747988,Polioptila schistaceigula
Q1302786,Amytornis goyderi
Q1302833,Amytornis purnelli
Q1307451,Pomatorhinus ochraceiceps
Q1308974,Pomatorhinus melanurus
Q27074584,Perdix dauurica
Q841108,Polioptila nigriceps
Q1273118,Anabacerthia lichtensteini
Q107486428,Polioptila bilineata
Q25432,Phasianus colchicus
Q41015044,Polioptila albiventris
Q698197,Anabacerthia variegaticeps
Q901996,Polioptila lembeyei
Q946800,Calliphlox mitchellii
Q1091284,Pomatorhinus mcclellandi
Q1260688,Anabacerthia striaticollis
Q1307410,Pomatorhinus hypoleucos
Q12253402,Amytornis modestus
Q26106,Perdix perdix
Q176911,Francolinus pintadeanus
Q180149,Francolinus albogularis
Q368942,Anabacerthia amaurotis
Q841856,Polioptila guianensis
Q850394,Calliphlox bryantae
Q901087,Polioptila albiloris
Q1091417,Pomatorhinus schisticeps
Q1274841,Campylorhamphus procurvoides
Q1309449,Pomatorhinus gravivox
Q31874024,Amytornis whitei
Q63891,Campylorhamphus pucheranii
Q305391,Hedydipna metallica
Q840174,Thamnophilus palliatus
Q1075996,Thamnophilus ambiguus
Q1190650,Grallina cyanoleuca
Q1242914,Tachyphonus delatrii
Q3114803,Tachyphonus luctuosus
Q3729679,Hedydipna pallidigaster
Q728235,Delichon dasypus
Q852723,Tinamus major
Q1205655,Sturnus cineraceus
Q1585374,Sturnus sericeus
Q2225257,Petrochelidon ariel
Q1591775,Petrochelidon pyrrhonota
Q358469,Eutoxeres aquila
Q372834,Thamnophilus aethiops
Q530530,Tachyphonus rufiventer
Q1035115,Heliobletus contaminatus
Q1261602,Eutoxeres condamini
Q1306657,Petrochelidon fluvicola
Q1587890,Petrochelidon fulva
Q1591481,Spindalis portoricensis
Q226120,Certhidea olivacea
Q836833,Sturnus unicolor
Q903045,Dysithamnus mentalis
Q903087,Thamnophilus punctatus
Q903493,Thamnophilus ruficapillus
Q998385,Tinamus osgoodi
Q1466513,Delichon nipalense
Q1590063,Sturnus nigricollis
Q2667779,Petrochelidon rufocollaris
Q784919,Eulampis jugularis
Q602080,Tinamus solitarius
Q933682,Tinamus tao
Q1059558,Eulampis holosericeus
Q1261883,Elvira cupreiceps
Q1262766,Elvira chionura
Q2226351,Spindalis nigricephala
Q948674,Tachyphonus coronatus
Q247928,Thamnophilus nigriceps
Q863581,Thamnophilus doliatus
Q916853,Tinamus guttatus
Q956116,Clytoctantes alixii
Q1263952,Clytoctantes atrogularis
Q3116434,Tachyphonus rufus
Q918323,Spindalis zena
Q178662,Thamnophilus praecox
Q946537,Thamnophilus bridgesi
Q510366,Hedydipna platura
Q543291,Thamnophilus unicolor
Q839914,Hedydipna collaris
Q1036929,Grallina bruijnii
Q2226378,Spindalis dominicensis
Q2667786,Petrochelidon spilodera
Q3114713,Tachyphonus phoenicius
Q1590393,Tachyphonus cristatus
Q2668013,Petrochelidon nigricans
Q2891900,Tachyphonus surinamus
Q3049403,Petrochelidon rufigula
Q3136302,Petrochelidon preussi
Q55112149,Delichon lagopodum
Q109578508,Trochilus saucerottei
Q109578492,Trochilus glaucopis
Q1923568,Zosterops explorator
Q2226282,Zosterops semperi
Q12269419,Zosterops feae
Q2226217,Zosterops wallacei
Q2668026,Zosterops senegalensis
Q3726985,Zosterops kulambangrae
Q2225715,Zosterops ceylonensis
Q2226191,Zosterops luteus
Q3073755,Zosterops poliogastrus
Q3178456,Zosterops abyssinicus
Q24997849,Zosterops tetiparius
Q27075576,Zosterops melanocephalus
Q16060373,Zosterops kikuyuensis
Q1923489,Zosterops minutus
Q1923543,Zosterops anomalus
Q27075575,Zosterops leucophaeus
Q27075573,Zosterops brunneus
Q1923588,Zosterops inornatus
Q2670220,Zosterops erythropleurus
Q3179439,Zosterops maderaspatanus
Q31874027,Zosterops comorensis
Q1923155,Zosterops mysorensis
Q1923563,Zosterops minor
Q1923775,Zosterops lugubris
Q2227428,Zosterops chloris
Q2627930,Zosterops olivaceus
Q3576135,Zosterops kirki
Q1923538,Zosterops griseotinctus
Q12269418,Zosterops virens
Q2225846,Zosterops everetti
Q3120024,Zosterops rotensis
Q31872975,Zosterops saypani
Q31874561,Zosterops chrysolaemus
Q1923497,Zosterops cinereus
Q2225766,Zosterops rendovae
Q2488433,Zosterops nigrorum
Q40660768,Zosterops auriventer
Q41027724,Zosterops anderssoni
Q31874030,Zosterops aldabrensis
Q12269423,Zosterops mauritianus
Q27075581,Zosterops semiflavus
Q40660989,Zosterops simplex
Q28920162,Zosterops superciliosus
Q31874059,Zosterops eurycricotus
Q28867703,Sporophila funerea
Q28867677,Sporophila crassirostris
Q28867456,Sporophila angolensis
Q28867624,Sporophila atrirostris
Q28867708,Sporophila nuttingi
Q31874551,Sporophila morelleti
Q30899420,Arremon polionotus
Q901086,Dacnis venusta
Q907876,Gymnopithys salvini
Q1263063,Hylocryptus erythrocephalus
Q1306486,Sporophila melanogaster
Q1315912,Perdicula manipurensis
Q2226106,Sporophila luctuosa
Q2226398,Sporophila nigrorufa
Q2226617,Sporophila albogularis
Q2226761,Sporophila hypoxantha
Q1263482,Perdicula asiatica
Q420379,Malurus melanocephalus
Q420813,Malurus cyaneus
Q1261664,Perdicula erythrorhyncha
Q1306678,Sporophila bouvronides
Q1413302,Sporophila nigricollis
Q2668590,Sporophila frontalis
Q3121257,Sporophila corvina
Q3121312,Sporophila ruficollis
Q691613,Sporophila hypochroma
Q944445,Sporophila cinnamomea
Q1024919,Sporophila bouvreuil
Q1263655,Chaetocercus astreans
Q1265206,Chaetocercus mulsant
Q1271188,Hylocryptus rectirostris
Q1273414,Perdicula argoondah
Q1588767,Dacnis berlepschi
Q2226385,Sporophila peruviana
Q3114684,Sporophila castaneiventris
Q3121382,Sporophila plumbea
Q15952800,Sporophila beltoni
Q7511521,Arremon basilicus
Q263820,Glaucis dohrnii
Q384994,Gymnopithys leucaspis
Q1270211,Chaetocercus jourdanii
Q2226742,Sporophila simplex
Q3117469,Sporophila telasco
Q3121296,Sporophila murallae
Q6133359,Sporophila pileata
Q1306467,Sporophila minuta
Q779743,Dacnis cayana
Q1269318,Chaetocercus heliodor
Q2669208,Sporophila palustris
